,,,,
S.No.,Height (cm),Weight (kg),BMI (numeric),"BMI Category = C1, C2, C3, C4"
1,164,74.5,27.69928614,C3
2,151,75.2,32.9810096,C4
3,168,67.8,24.02210884,C2
4,168,76.4,27.069161,C3
5,170,70,24.22145329,C2
6,180,77,23.7654321,C2
7,150,53,23.55555556,C2
8,173,64.5,21.55100404,C2
9,193,88,23.6247953,C2
10,190,81.5,22.57617729,C2
11,193,102,27.38328546,C3
12,181,136.078,41.53658313,C4
13,152.4,54.43,23.43518576,C2
14,188,90.7,25.66206428,C3
15,182,66,19.92512982,C2
16,175,70,22.85714286,C2
17,180,75,23.14814815,C2
18,183,72.5,21.64889964,C2
19,165,68,24.97704316,C2
20,180,74.8,23.08641975,C2
21,194,95,25.24178978,C3
22,174,300,99.08838684,C4
22,175,9.30E+01,3.04E+01,C4
23,177,,,
24,192,105,28.48307292,C3
25,184,94,27.76465028,C3
26,183,79.4,23.70927767,C2
27,173,55,18.37682515,C1
29,190,98,27.1468144,C3
30,180,90,27.77777778,C3
